# ----------------------------------------
# Creatrip GA4
# 자유 양식-자유 형식 3
# 20260322-20260520
# ----------------------------------------

이벤트 이름,AppInstallBannerImpression,총계
page_location,이벤트 수,이벤트 수
https://creatrip.com/blog/10000?utm_source=instagram_tw&utm_medium=bio&utm_campaign=traffic_branding&utm_content=All_250521&fbclid=PAVERFWARPwslleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadU2K9OrLh6N2qTbUDGqFyJB1fb_oRTnPUq4igB11rDt6YPKkQf2TdyO116Gg_aem_2HM-QZTQhg-PXTcAXC1NoA,1,1
https://creatrip.com/blog/10000?utm_source=instagram_tw&utm_medium=bio&utm_campaign=traffic_branding&utm_content=All_250521&fbclid=PAVERFWARRZqhleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAac9GyypCi_wHMBeT_jyOFdM9DHzCgydzvHvtKl7EEymksZXWBIgTFiyY97_dg_aem_z_n7Mw544OnpeQY3YAzI3w,1,1
https://creatrip.com/blog/10000?utm_source=instagram_tw&utm_medium=bio&utm_campaign=traffic_branding&utm_content=All_250521&fbclid=PAVERFWARYc-JleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeDSkkZDM09S0fg-XIwe4jCGNjVe8jnPftWiqSr_6hZHU5yODGWdBbaWtpYIg_aem_9Csc4V8xftLu5jUbC6dQQw,2,2
https://creatrip.com/blog/10000?utm_source=instagram_tw&utm_medium=bio&utm_campaign=traffic_branding&utm_content=All_250521&fbclid=PAVERFWARe93xleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafUeAGlJ8JukqJdIFVv7NhC_gfMeYm3eSXmjoWjGic0rfdSmsY61EcDB5ZKqg_aem_ZmFrZWR1bW15MTZieXRlcw,1,1
https://creatrip.com/blog/10000?utm_source=instagram_tw&utm_medium=bio&utm_campaign=traffic_branding&utm_content=All_250521&fbclid=PAVERFWARjqZVleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaf3IVMqCkBtz1HanWSCO3LZ-_8j7XlIs8-UegsjWIel5MXdy5lsk_oHyLJeiA_aem_bNvI2tK5gShuh2ULHS6n_A,1,1
https://creatrip.com/blog/10100,3,3
https://creatrip.com/blog/10144,2,2
https://creatrip.com/blog/10216,1,1
https://creatrip.com/blog/10301,1,1
https://creatrip.com/blog/10345,1,1
https://creatrip.com/blog/1041,3,3
https://creatrip.com/blog/10424,3,3
https://creatrip.com/blog/10447,3,3
https://creatrip.com/blog/10508,4,4
https://creatrip.com/blog/1052,9,9
https://creatrip.com/blog/10687,18,18
https://creatrip.com/blog/10687?fbclid=IwAR2M9nDm_myIa-zTOhzp2shFTHSysEoyPiXnWg1DHMXjTNEXNB_p8c9G8FE&utm_medium=post&utm_campaign=traffic_SIM&utm_source=facebook_tw&utm_content=_post,1,1
https://creatrip.com/blog/1074?page=1&trip_city=2,2,2
https://creatrip.com/blog/10837?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,1,1
https://creatrip.com/blog/10838?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,1,1
https://creatrip.com/blog/10900,2,2
https://creatrip.com/blog/1093,1,1
https://creatrip.com/blog/10949,19,19
https://creatrip.com/blog/10949?utm_source=facebook_tw&utm_medium=post&utm_campaign=traffic_essentials&utm_content=BusanLuggageLockers_240823&fbclid=IwdGRleAQ42O9leHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEennmSqGmQWKah9y9v-Rme_hOxW5HunDw17FznruciTKFIwT0B2fspZDEppAs_aem_k_Uo0oex4yMzpyKXSRCxpA,3,3
https://creatrip.com/blog/10994,1,1
https://creatrip.com/blog/11036,2,2
https://creatrip.com/blog/11092,4,4
https://creatrip.com/blog/11098?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,1,1
https://creatrip.com/blog/11121,1,1
https://creatrip.com/blog/1116,29,29
https://creatrip.com/blog/11208,1,1
https://creatrip.com/blog/11277,6,6
https://creatrip.com/blog/11343?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,3,3
https://creatrip.com/blog/11343?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,3,3
https://creatrip.com/blog/11356?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,3,3
https://creatrip.com/blog/11360?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,2,2
